outer_fold,round_name,pipeline_recipe_id,feature_recipe_id,prescreen_recipe_id,prescreen_name,prescreen_methods,rank_aggregation,feature_size,selected_features_text,candidate_heuristic_score,model_spec_id,base_model_family,model_kind,model_params,inner_oof_business_score,inner_oof_optimal_k,inner_oof_f1_score,inner_oof_roc_auc_score,inner_oof_n_predictions,inner_oof_selected_rate,inner_oof_tp_at_optimal_k,inner_oof_fp_at_optimal_k,feature_penalty,gross_score,expected_inner_oof_predictions,missing_inner_oof_predictions,inner_fold_count,expected_inner_fold_count,missing_inner_fold_count,missing_inner_folds,mean_duration_seconds,manifest_checked,status,baseline_random_score_features_0_business_score,baseline_select_all_capped_features_0_business_score,baseline_select_all_capped_features_1_business_score,baseline_select_all_illegal_full_features_0_business_score,baseline_select_all_illegal_full_features_1_business_score,beats_baseline_select_all_capped_features_0,beats_baseline_select_all_capped_features_1,beats_baseline_select_all_illegal_full_features_0,beats_baseline_select_all_illegal_full_features_1
1,round2_model_hpo_selection,ps_mean_0007__k_008__extra_trees_small_deep01,ps_mean_0007__k_008,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,8,"var_175,var_190,var_214,var_254,var_341,var_379,var_389,var_482",0.9929859719438878,extra_trees_small_deep01,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 320}",5040.0,1000,0.5188900033433634,0.7292252668116529,4000,0.25,776,224,1600.0,6640.0,4000,0,5,5,0,,1.1167861104011536,True,ok,2745.0,2200.0,2000.0,9865.0,9665.0,True,True,False,False
1,round2_model_hpo_selection,ps_mean_0005__k_007__extra_trees_small_deep02,ps_mean_0005__k_007,ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",mean_rank_score,7,"var_159,var_175,var_190,var_214,var_254,var_341,var_379",0.9939879759519038,extra_trees_small_deep02,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",5035.0,999,0.5096989966555184,0.7179490384680289,4000,0.24975,762,237,1400.0,6435.0,4000,0,5,5,0,,1.18750102519989,True,ok,2745.0,2200.0,2000.0,9865.0,9665.0,True,True,False,False
1,round2_model_hpo_selection,ps_mean_0007__k_008__extra_trees_small_deep03,ps_mean_0007__k_008,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,8,"var_175,var_190,var_214,var_254,var_341,var_379,var_389,var_482",0.9929859719438878,extra_trees_small_deep03,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",5030.0,984,0.5176470588235295,0.7354441427438905,4000,0.246,770,214,1600.0,6630.0,4000,0,5,5,0,,1.4884088292717934,True,ok,2745.0,2200.0,2000.0,9865.0,9665.0,True,True,False,False
1,round2_model_hpo_selection,ps_mean_0007__k_007__ebm_additive_deep01,ps_mean_0007__k_007,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,7,"var_175,var_190,var_214,var_254,var_341,var_379,var_482",0.9939879759519038,ebm_additive_deep01,ebm_additive,classifier,"{""interactions"": 0, ""max_bins"": 64, ""max_rounds"": 3000, ""outer_bags"": 4}",5030.0,1000,0.5095285857572718,0.7151224812302448,4000,0.25,762,238,1400.0,6430.0,4000,0,5,5,0,,2.667157404869795,True,ok,2745.0,2200.0,2000.0,9865.0,9665.0,True,True,False,False
1,round2_model_hpo_selection,ps_mean_0006__k_007__extra_trees_small_deep03,ps_mean_0006__k_007,ps_mean_0006,single__ebm,"[""ebm""]",mean_rank_score,7,"var_116,var_190,var_214,var_254,var_341,var_379,var_389",0.9939879759519037,extra_trees_small_deep03,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",5030.0,1000,0.5095285857572718,0.7044257646217336,4000,0.25,762,238,1400.0,6430.0,4000,0,5,5,0,,1.1933447688817977,True,ok,2745.0,2200.0,2000.0,9865.0,9665.0,True,True,False,False
1,round2_model_hpo_selection,ps_mean_0005__k_006__extra_trees_small_deep03,ps_mean_0005__k_006,ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",mean_rank_score,6,"var_159,var_190,var_214,var_254,var_341,var_379",0.9949899799599198,extra_trees_small_deep03,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",5025.0,999,0.5003344481605352,0.6945208140464845,4000,0.24975,748,251,1200.0,6225.0,4000,0,5,5,0,,1.331427139788866,True,ok,2745.0,2200.0,2000.0,9865.0,9665.0,True,True,False,False
1,round2_model_hpo_selection,ps_mean_0007__k_006__extra_trees_small_deep01,ps_mean_0007__k_006,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,6,"var_175,var_190,var_214,var_254,var_341,var_379",0.9949899799599198,extra_trees_small_deep01,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 320}",5025.0,999,0.5003344481605352,0.6934312919836627,4000,0.24975,748,251,1200.0,6225.0,4000,0,5,5,0,,0.9375227615237236,True,ok,2745.0,2200.0,2000.0,9865.0,9665.0,True,True,False,False
1,round2_model_hpo_selection,ps_mean_0005__k_007__extra_trees_small_deep06,ps_mean_0005__k_007,ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",mean_rank_score,7,"var_159,var_175,var_190,var_214,var_254,var_341,var_379",0.9939879759519038,extra_trees_small_deep06,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 30, ""n_estimators"": 500}",5020.0,999,0.5090301003344481,0.7171320219234439,4000,0.24975,761,238,1400.0,6420.0,4000,0,5,5,0,,1.4200626187026502,True,ok,2745.0,2200.0,2000.0,9865.0,9665.0,True,True,False,False
1,round2_model_hpo_selection,ps_mean_0007__k_008__ebm_additive_deep01,ps_mean_0007__k_008,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,8,"var_175,var_190,var_214,var_254,var_341,var_379,var_389,var_482",0.9929859719438878,ebm_additive_deep01,ebm_additive,classifier,"{""interactions"": 0, ""max_bins"": 64, ""max_rounds"": 3000, ""outer_bags"": 4}",5015.0,999,0.5177257525083613,0.7347351283863498,4000,0.24975,774,225,1600.0,6615.0,4000,0,5,5,0,,2.858763997256756,True,ok,2745.0,2200.0,2000.0,9865.0,9665.0,True,True,False,False
1,round2_model_hpo_selection,ps_mean_0005__k_008__lightgbm_classifier_deep01,ps_mean_0005__k_008,ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",mean_rank_score,8,"var_116,var_159,var_175,var_190,var_214,var_254,var_341,var_379",0.9929859719438877,lightgbm_classifier_deep01,lightgbm_classifier,classifier,"{""learning_rate"": 0.05, ""min_child_samples"": 10, ""n_estimators"": 160, ""num_leaves"": 7, ""scale_pos_weight_multiplier"": 0.75}",5015.0,999,0.5177257525083613,0.7332137225778822,4000,0.24975,774,225,1600.0,6615.0,4000,0,5,5,0,,0.20514014810323716,True,ok,2745.0,2200.0,2000.0,9865.0,9665.0,True,True,False,False
