outer_fold,round_name,pipeline_recipe_id,inner_oof_business_score,inner_oof_optimal_k,inner_oof_f1_score,inner_oof_roc_auc_score,inner_oof_n_predictions,inner_oof_selected_rate,selected_features_text,feature_size,prescreen_name,base_model_family,model_spec_id,inner_fold_count,expected_inner_oof_predictions,missing_inner_oof_predictions,expected_inner_fold_count,missing_inner_fold_count,manifest_checked,feature_recipe_id,prescreen_recipe_id,prescreen_methods,rank_aggregation,model_kind,model_params,feature_penalty,gross_score,inner_oof_tp_at_optimal_k,inner_oof_fp_at_optimal_k,baseline_select_all_capped_features_0_business_score,baseline_select_all_capped_features_1_business_score,baseline_select_all_illegal_full_features_0_business_score,baseline_select_all_illegal_full_features_1_business_score,beats_baseline_select_all_capped_features_0,beats_baseline_select_all_capped_features_1,beats_baseline_select_all_illegal_full_features_0,beats_baseline_select_all_illegal_full_features_1,inner_selection_rank
3,round2_model_hpo_selection,ps_mean_0007__k_007__ebm_additive_deep03,5035.0,999.0,0.5098695215791235,0.7043746093652341,4000,0.24975,"var_175,var_190,var_214,var_254,var_261,var_341,var_379",7,single__sparse_gam_spam,ebm_additive,ebm_additive_deep03,5,4000,0,5,0,True,ps_mean_0007__k_007,ps_mean_0007,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""interactions"": 2, ""max_bins"": 64, ""max_rounds"": 3000, ""outer_bags"": 4}",1400.0,6435.0,762.0,237.0,2350.0,2150.0,9850.0,9650.0,1.0,1.0,0.0,0.0,1
3,round2_model_hpo_selection,ps_mean_0007__k_006__extra_trees_small_deep01,5030.0,998.0,0.500669344042838,0.6868826720668015,4000,0.2495,"var_175,var_190,var_214,var_254,var_341,var_379",6,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep01,5,4000,0,5,0,True,ps_mean_0007__k_006,ps_mean_0007,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 320}",1200.0,6230.0,748.0,250.0,2350.0,2150.0,9850.0,9650.0,1.0,1.0,0.0,0.0,2
3,round2_model_hpo_selection,ps_mean_0005__k_007__extra_trees_small_deep03,5020.0,999.0,0.5092004014720642,0.7082487062176555,4000,0.24975,"var_175,var_190,var_214,var_226,var_254,var_341,var_379",7,single__lightgbm_gain,extra_trees_small,extra_trees_small_deep03,5,4000,0,5,0,True,ps_mean_0005__k_007,ps_mean_0005,"[""lightgbm_gain""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",1400.0,6420.0,761.0,238.0,2350.0,2150.0,9850.0,9650.0,1.0,1.0,0.0,0.0,3
3,round2_model_hpo_selection,ps_mean_0007__k_006__extra_trees_small_deep03,5020.0,1000.0,0.5003344481605351,0.6901047526188154,4000,0.25,"var_175,var_190,var_214,var_254,var_341,var_379",6,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep03,5,4000,0,5,0,True,ps_mean_0007__k_006,ps_mean_0007,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",1200.0,6220.0,748.0,252.0,2350.0,2150.0,9850.0,9650.0,1.0,1.0,0.0,0.0,4
3,round2_model_hpo_selection,ps_mean_0007__k_006__extra_trees_small_deep02,5020.0,1000.0,0.5003344481605351,0.6895994899872496,4000,0.25,"var_175,var_190,var_214,var_254,var_341,var_379",6,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0007__k_006,ps_mean_0007,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1200.0,6220.0,748.0,252.0,2350.0,2150.0,9850.0,9650.0,1.0,1.0,0.0,0.0,5
3,round2_model_hpo_selection,ps_mean_0007__k_006__extra_trees_small_deep08,5010.0,999.0,0.4998327199732352,0.6899859996499913,4000,0.24975,"var_175,var_190,var_214,var_254,var_341,var_379",6,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep08,5,4000,0,5,0,True,ps_mean_0007__k_006,ps_mean_0007,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 20, ""n_estimators"": 500}",1200.0,6210.0,747.0,252.0,2350.0,2150.0,9850.0,9650.0,1.0,1.0,0.0,0.0,6
3,round2_model_hpo_selection,ps_mean_0007__k_006__extra_trees_small_deep06,5005.0,1000.0,0.4996655518394648,0.6886357158928973,4000,0.25,"var_175,var_190,var_214,var_254,var_341,var_379",6,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep06,5,4000,0,5,0,True,ps_mean_0007__k_006,ps_mean_0007,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 30, ""n_estimators"": 500}",1200.0,6205.0,747.0,253.0,2350.0,2150.0,9850.0,9650.0,1.0,1.0,0.0,0.0,7
3,round2_model_hpo_selection,ps_mean_0005__k_006__extra_trees_small_deep04,5005.0,1000.0,0.4996655518394648,0.6836260906522662,4000,0.25,"var_175,var_190,var_214,var_226,var_254,var_379",6,single__lightgbm_gain,extra_trees_small,extra_trees_small_deep04,5,4000,0,5,0,True,ps_mean_0005__k_006,ps_mean_0005,"[""lightgbm_gain""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 20, ""n_estimators"": 400}",1200.0,6205.0,747.0,253.0,2350.0,2150.0,9850.0,9650.0,1.0,1.0,0.0,0.0,8
3,round2_model_hpo_selection,ps_mean_0007__k_008__extra_trees_small_deep02,4995.0,1000.0,0.5170568561872909,0.7221908047701192,4000,0.25,"var_175,var_190,var_214,var_254,var_261,var_341,var_379,var_482",8,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0007__k_008,ps_mean_0007,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1600.0,6595.0,773.0,227.0,2350.0,2150.0,9850.0,9650.0,1.0,1.0,0.0,0.0,9
3,round2_model_hpo_selection,ps_mean_0007__k_006__xgboost_classifier_deep07,4990.0,1000.0,0.4989966555183947,0.6875046876171904,4000,0.25,"var_175,var_190,var_214,var_254,var_341,var_379",6,single__sparse_gam_spam,xgboost_classifier,xgboost_classifier_deep07,5,4000,0,5,0,True,ps_mean_0007__k_006,ps_mean_0007,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 8.0, ""n_estimators"": 300, ""subsample"": 0.8}",1200.0,6190.0,746.0,254.0,2350.0,2150.0,9850.0,9650.0,1.0,1.0,0.0,0.0,10
