outer_fold,round_name,prescreen_recipe_id,inner_oof_business_score,inner_oof_optimal_k,inner_oof_f1_score,inner_oof_roc_auc_score,inner_oof_n_predictions,inner_oof_selected_rate,selected_features_text,feature_size,prescreen_name,base_model_family,model_spec_id,inner_fold_count,expected_inner_oof_predictions,missing_inner_oof_predictions,expected_inner_fold_count,missing_inner_fold_count,manifest_checked,feature_recipe_id,pipeline_recipe_id,prescreen_methods,rank_aggregation,model_kind,model_params,feature_penalty,gross_score,inner_oof_tp_at_optimal_k,inner_oof_fp_at_optimal_k,baseline_select_all_capped_features_0_business_score,baseline_select_all_capped_features_1_business_score,baseline_select_all_illegal_full_features_0_business_score,baseline_select_all_illegal_full_features_1_business_score,beats_baseline_select_all_capped_features_0,beats_baseline_select_all_capped_features_1,beats_baseline_select_all_illegal_full_features_0,beats_baseline_select_all_illegal_full_features_1,inner_selection_rank
1,round1_prescreen_feature_screen,ps_mean_0012,4119.0,999.2,0.4421054574629495,0.6272700772190637,4000,0.24980000000000002,"var_159,var_190,var_264,var_31",4,pair__mutual_info+lightgbm_gain,lightgbm_classifier,lightgbm_classifier_deep03,5,4000,0,5,0,True,ps_mean_0012__k_004,ps_mean_0012__k_004__lightgbm_classifier_deep03,"[""mutual_info"", ""lightgbm_gain""]",mean_rank_score,classifier,"{""learning_rate"": 0.035, ""min_child_samples"": 20, ""n_estimators"": 260, ""num_leaves"": 15, ""scale_pos_weight_multiplier"": 1.0}",800.0,4919.0,661.0,338.2,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,28
1,round1_prescreen_feature_screen,ps_mean_0012,4113.0,999.8,0.46863819999575096,0.6640095461933104,4000,0.24994999999999998,"var_159,var_190,var_214,var_264,var_31,var_328,var_54",7,pair__mutual_info+lightgbm_gain,lightgbm_classifier,lightgbm_classifier_deep03,5,4000,0,5,0,True,ps_mean_0012__k_007,ps_mean_0012__k_007__lightgbm_classifier_deep03,"[""mutual_info"", ""lightgbm_gain""]",mean_rank_score,classifier,"{""learning_rate"": 0.035, ""min_child_samples"": 20, ""n_estimators"": 260, ""num_leaves"": 15, ""scale_pos_weight_multiplier"": 1.0}",1400.0,5513.0,700.8,299.0,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,29
1,round1_prescreen_feature_screen,ps_mean_0006,4107.0,999.8,0.4416185457151835,0.6253897141417114,4000,0.24994999999999998,"var_190,var_214,var_254,var_379",4,single__ebm,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0006__k_004,ps_mean_0006__k_004__extra_trees_small_deep02,"[""ebm""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",800.0,4907.0,660.4,339.4,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,30
1,round1_prescreen_feature_screen,ps_mean_0020,4096.0,998.4,0.4678668334993833,0.6587479396457778,4000,0.2496,"var_175,var_190,var_223,var_254,var_308,var_328,var_389",7,pair__abs_corr+sparse_gam_spam,xgboost_classifier,xgboost_classifier_deep03,5,4000,0,5,0,True,ps_mean_0020__k_007,ps_mean_0020__k_007__xgboost_classifier_deep03,"[""abs_corr"", ""sparse_gam_spam""]",mean_rank_score,classifier,"{""learning_rate"": 0.035, ""max_depth"": 3, ""min_child_weight"": 3.0, ""n_estimators"": 260, ""scale_pos_weight_multiplier"": 1.0}",1400.0,5496.0,699.2,299.2,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,31
1,round1_prescreen_feature_screen,ps_mean_0007,4091.0,998.6,0.43199185069142765,0.6080119622422354,4000,0.24965,"var_175,var_190,var_214",3,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0007__k_003,ps_mean_0007__k_003__extra_trees_small_deep02,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",600.0,4691.0,645.6,353.0,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,32
1,round1_prescreen_feature_screen,ps_mean_0005,4088.0,999.4,0.49425344306010405,0.7064601558181554,4000,0.24985,"var_116,var_159,var_175,var_190,var_214,var_226,var_254,var_341,var_379,var_389",10,single__lightgbm_gain,lightgbm_classifier,lightgbm_classifier_deep03,5,4000,0,5,0,True,ps_mean_0005__k_010,ps_mean_0005__k_010__lightgbm_classifier_deep03,"[""lightgbm_gain""]",mean_rank_score,classifier,"{""learning_rate"": 0.035, ""min_child_samples"": 20, ""n_estimators"": 260, ""num_leaves"": 15, ""scale_pos_weight_multiplier"": 1.0}",2000.0,6088.0,739.0,260.4,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,33
1,round1_prescreen_feature_screen,ps_mean_0007,4082.0,999.4,0.49398449582311627,0.7036670742582538,4000,0.24985,"var_175,var_190,var_214,var_226,var_254,var_328,var_341,var_379,var_389,var_482",10,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0007__k_010,ps_mean_0007__k_010__extra_trees_small_deep02,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",2000.0,6082.0,738.6,260.8,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,34
1,round1_prescreen_feature_screen,ps_mean_0006,4073.0,997.4,0.48458221934476786,0.695825690470232,4000,0.24935000000000002,"var_116,var_190,var_214,var_226,var_254,var_341,var_379,var_389,var_482",9,single__ebm,xgboost_classifier,xgboost_classifier_deep03,5,4000,0,5,0,True,ps_mean_0006__k_009,ps_mean_0006__k_009__xgboost_classifier_deep03,"[""ebm""]",mean_rank_score,classifier,"{""learning_rate"": 0.035, ""max_depth"": 3, ""min_child_weight"": 3.0, ""n_estimators"": 260, ""scale_pos_weight_multiplier"": 1.0}",1800.0,5873.0,724.0,273.4,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,35
1,round1_prescreen_feature_screen,ps_mean_0039,4066.0,998.8,0.4308462511279658,0.6145535947102929,4000,0.24969999999999998,"var_190,var_264,var_31",3,triple__mutual_info+abs_corr+lightgbm_gain,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0039__k_003,ps_mean_0039__k_003__extra_trees_small_deep02,"[""mutual_info"", ""abs_corr"", ""lightgbm_gain""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",600.0,4666.0,644.0,354.8,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,36
1,round1_prescreen_feature_screen,ps_mean_0006,4057.0,997.8,0.4927795647351342,0.7076776804730296,4000,0.24945,"var_116,var_175,var_190,var_214,var_226,var_254,var_341,var_379,var_389,var_482",10,single__ebm,lightgbm_classifier,lightgbm_classifier_deep03,5,4000,0,5,0,True,ps_mean_0006__k_010,ps_mean_0006__k_010__lightgbm_classifier_deep03,"[""ebm""]",mean_rank_score,classifier,"{""learning_rate"": 0.035, ""min_child_samples"": 20, ""n_estimators"": 260, ""num_leaves"": 15, ""scale_pos_weight_multiplier"": 1.0}",2000.0,6057.0,736.4,261.4,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,37
1,round1_prescreen_feature_screen,ps_mean_0019,4044.0,998.8,0.4476573878608871,0.6342280931188857,4000,0.24969999999999998,"var_190,var_198,var_254,var_328,var_389",5,pair__abs_corr+ebm,xgboost_classifier,xgboost_classifier_deep03,5,4000,0,5,0,True,ps_mean_0019__k_005,ps_mean_0019__k_005__xgboost_classifier_deep03,"[""abs_corr"", ""ebm""]",mean_rank_score,classifier,"{""learning_rate"": 0.035, ""max_depth"": 3, ""min_child_weight"": 3.0, ""n_estimators"": 260, ""scale_pos_weight_multiplier"": 1.0}",1000.0,5044.0,669.2,329.6,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,38
